District,Year,Yield,Harvested_Extent,Sown_Extent,Production,Season
COLOMBO,2023/2024,3402,3648,3657,10.55,Maha
GALLE,1979,1375,17968,19583,19.4,Yala
GALLE,1978/1979,1692,18673,19811,56.1,Maha
GALLE,1979/1980,1775,18188,18972,55.4,Maha
GALLE,1981,1741,19297,20217,26.3,Yala
GALLE,1980/1981,2135,19293,19618,56.7,Maha
GALLE,1982,1683,18423,20444,24.3,Yala
GALLE,1981/1982,2181,20197,20393,44.8,Maha
GALLE,1983,1361,8409,9547,9,Yala
GALLE,1982/1983,2141,20420,20803,54.8,Maha
GALLE,1984,1967,19138,20095,29.5,Yala
GALLE,1983/1984,2383,20164,20423,37.7,Maha
GALLE,1985,1924,19648,19847,29.6,Yala
GALLE,1984/1985,2326,19981,20068,36.4,Maha
GALLE,1986,2073,20295,20454,33,Yala
GALLE,1985/1986,2341,20478,20549,37.6,Maha
GALLE,1987,1842,14665,14959,21.2,Yala
GALLE,1986/1987,2676,20007,20196,42,Maha
GALLE,1988,2328,19711,19844,36,Yala
GALLE,1987/1988,2773,19944,20033,43.3,Maha
GALLE,1989,2162,16489,16550,27.9,Yala
GALLE,1988/1989,2867,20063,20088,45.1,Maha
GALLE,1990,2537,18339,18427,36.5,Yala
GALLE,1989/1990,2673,19403,19497,40.7,Maha
GALLE,1991,1911,17583,19007,26.3,Yala
GALLE,1990/1991,2635,19545,19597,40.4,Maha
GALLE,1992,2379,10159,10234,18.9,Yala
GALLE,1991/1992,2659,19621,19687,40.9,Maha
GALLE,1993,1889,14725,15885,21.8,Yala
GALLE,1992/1993,2679,18655,18730,39.2,Maha
GALLE,1994,2134,17002,17182,28.4,Yala
GALLE,1993/1994,2938,18453,18468,42.5,Maha
GALLE,1995,2097,11716,11932,19.2,Yala
GALLE,1994/1995,2651,17573,17652,36.5,Maha
GALLE,1996,2213,12591,12600,21.8,Yala
GALLE,1995/1996,2526,17189,17232,34,Maha
GALLE,1997,2323,9272,9461,16.9,Yala
GALLE,1996/1997,2911,17454,17458,39.8,Maha
GALLE,1998,2302,1490,1603,2.7,Yala
GALLE,1997/1998,3154,17176,17526,42.5,Maha
GALLE,1999,2665,13413,14268,28,Yala
GALLE,1998/1999,3042,16992,17003,40.5,Maha
GALLE,2000,2623,11384,12648,22.7,Yala
GALLE,1999/2000,3085,16576,16914,40.1,Maha
GALLE,2001,2617,6511,6530,13.4,Yala
GALLE,2000/2001,2902,15731,15890,35.8,Maha
GALLE,2002,2607,11700,12316,24.4,Yala
GALLE,2001/2002,3593,15971,16297,45,Maha
GALLE,2003,2604,10590,11511,21.6,Yala
GALLE,2002/2003,3438,15561,16379,41.9,Maha
GALLE,2004,3159,7507,7693,18.6,Yala
GALLE,2003/2004,3383,13339,13401,35.3,Maha
GALLE,2005,2788,9336,9414,20.4,Yala
GALLE,2004/2005,3711,13943,14498,40.5,Maha
GALLE,2006,2728,4895,4912,10.5,Yala
GALLE,2005/2006,3498,14079,14104,38.5,Maha
GALLE,2007,3262,5840,5871,14.9,Yala
GALLE,2006/2007,3418,12370,12395,33.1,Maha
GALLE,2008,3027,13510,14130,32,Yala
GALLE,2007/2008,3190,14652,14679,36.6,Maha
GALLE,2009,2997,13084,13120,30.7,Yala
GALLE,2008/2009,3032,15649,15930,40.2,Maha
GALLE,2010,2943,11685,11732,26.9,Yala
GALLE,2009/2010,3286,17142,17156,37.9,Maha
GALLE,2011,2924,10545,10560,24.1,Yala
GALLE,2010/2011,2968,16673,16697,31.7,Maha
GALLE,2012,3075,4177,4212,10.1,Yala
GALLE,2011/2012,3431,15917,15968,41.9,Maha
GALLE,2013,2670,4050,4057,8.5,Yala
GALLE,2012/2013,3552,14024,14141,37.9,Maha
GALLE,2014,2735,4767,4767,10.2,Yala
GALLE,2013/2014,3653,12610,12703,39.2,Maha
GALLE,2015,2649,5125,5694,10.6,Yala
GALLE,2014/2015,3738,13099,13130,40.1,Maha
GALLE,2016,3148,1180,1199,2.91,Yala
GALLE,2015/2016,2965,10118,10174,34.92,Maha
GALLE,2017,2448,4850,4919,9.29,Yala
GALLE,2016/2017,3543,8087,8118,28.73,Maha
GALLE,2018,3204,3944,3945,9.89,Yala
GALLE,2017/2018,2986,10725,10775,33.02,Maha
GALLE,2019,3012,2670,3333,6.3,Yala
GALLE,2018/2019,3247,8308,8313,37.55,Maha
GALLE,2020,2837,10915,11551,24.23,Yala
GALLE,2019/2020,3980,7939,7949,38.44,Maha
GALLE,2021,2897,8326,8548,18.87,Yala
GALLE,2022,2194,10422,10615,17.9,Yala
GALLE,2021/2022,2514,10921,11235,31.21,Maha
GALLE,2023,2169,5024,5683,8.53,Yala
GALLE,2022/2023,2532,12010,12319,37.6,Maha
GALLE,2024,2602,3761,3859,7.66,Yala
GALLE,2023/2024,2993,6823,7014,38.88,Maha
GAMPAHA,1979,2228,6744,6890,12.8,Yala
GAMPAHA,1978/1979,2476,16334,16697,34.4,Maha
GAMPAHA,1979/1980,2473,16312,16897,34.4,Maha
GAMPAHA,1981,2566,10445,10765,22.8,Yala
GAMPAHA,1980/1981,2820,16695,16925,40.1,Maha
GAMPAHA,1982,2771,10883,11121,25.7,Yala
GAMPAHA,1981/1982,3295,16588,17093,46.5,Maha
GAMPAHA,1983,2827,3817,3922,9.2,Yala
GAMPAHA,1982/1983,3120,16821,17107,44.7,Maha
GAMPAHA,1984,2695,12271,12556,28.2,Yala
GAMPAHA,1983/1984,3477,16269,16595,48.2,Maha
GAMPAHA,1985,2803,12106,12209,28.9,Yala
GAMPAHA,1984/1985,3215,16358,16456,44.8,Maha
GAMPAHA,1986,2764,10010,10270,23.6,Yala
GAMPAHA,1985/1986,2872,15739,16100,38.5,Maha
GAMPAHA,1987,3235,10411,10445,28.7,Yala
GAMPAHA,1986/1987,3316,14885,15089,42,Maha
GAMPAHA,1988,2797,11513,11620,27.4,Yala
GAMPAHA,1987/1988,2901,13939,14592,34.4,Maha
GAMPAHA,1989,2689,6928,7044,15.9,Yala
GAMPAHA,1988/1989,3206,14029,14197,38.3,Maha
GAMPAHA,1990,2665,11238,11323,25.5,Yala
GAMPAHA,1989/1990,3261,14756,14823,41,Maha
GAMPAHA,1991,2188,10615,10891,19.8,Yala
GAMPAHA,1990/1991,2648,13924,14039,31.4,Maha
GAMPAHA,1992,2863,6105,6202,14.9,Yala
GAMPAHA,1991/1992,2970,12992,13757,32.9,Maha
GAMPAHA,1993,2525,5621,5660,12.1,Yala
GAMPAHA,1992/1993,3262,14238,14309,39.5,Maha
GAMPAHA,1994,2416,6216,6303,12.8,Yala
GAMPAHA,1993/1994,3371,13521,13545,38.8,Maha
GAMPAHA,1995,2331,2854,2903,5.7,Yala
GAMPAHA,1994/1995,3307,11936,11977,33.6,Maha
GAMPAHA,1996,2885,1272,1342,3.1,Yala
GAMPAHA,1995/1996,3316,11103,11189,31.4,Maha
GAMPAHA,1997,2902,2252,2298,5.6,Yala
GAMPAHA,1996/1997,3391,12227,12279,35.3,Maha
GAMPAHA,1998,2014,1380,1470,2.4,Yala
GAMPAHA,1997/1998,2596,11802,12033,26.1,Maha
GAMPAHA,1999,3120,3585,3623,9.5,Yala
GAMPAHA,1998/1999,3037,10785,10843,27.9,Maha
GAMPAHA,2000,2770,1904,1931,4.5,Yala
GAMPAHA,1999/2000,3247,10020,10084,27.7,Maha
GAMPAHA,2001,2810,1347,1356,3.2,Yala
GAMPAHA,2000/2001,3253,8936,8981,24.7,Maha
GAMPAHA,2002,2817,1640,1727,4,Yala
GAMPAHA,2001/2002,3499,9542,9553,28.4,Maha
GAMPAHA,2003,2459,4388,4770,9.2,Yala
GAMPAHA,2002/2003,3251,9994,10519,27.7,Maha
GAMPAHA,2004,2825,1784,1789,4.3,Yala
GAMPAHA,2003/2004,3245,9526,9727,26.3,Maha
GAMPAHA,2005,2741,3408,3487,7.9,Yala
GAMPAHA,2004/2005,3408,10170,10173,29.5,Maha
GAMPAHA,2006,2659,1102,1158,2.5,Yala
GAMPAHA,2005/2006,3603,9753,9835,29.9,Maha
GAMPAHA,2007,3656,2395,2407,7.4,Yala
GAMPAHA,2006/2007,3134,8091,8402,21.6,Maha
GAMPAHA,2008,3243,7470,7501,20.6,Yala
GAMPAHA,2007/2008,3495,9328,9360,27.7,Maha
GAMPAHA,2009,339,8095,8106,23.3,Yala
GAMPAHA,2008/2009,3353,10678,10826,30.4,Maha
GAMPAHA,2010,3687,7810,7828,24.5,Yala
GAMPAHA,2009/2010,3451,12464,12534,36.6,Maha
GAMPAHA,2011,3415,5449,5461,15.8,Yala
GAMPAHA,2010/2011,3061,13032,13041,33.9,Maha
GAMPAHA,2012,3258,3558,3571,9.9,Yala
GAMPAHA,2011/2012,3453,10333,10333,30.3,Maha
GAMPAHA,2013,2934,4713,4813,11.8,Yala
GAMPAHA,2012/2013,3750,11153,11176,35.5,Maha
GAMPAHA,2014,3179,5012,5171,13.5,Yala
GAMPAHA,2013/2014,3188,10636,10646,28.8,Maha
GAMPAHA,2015,3252,4576,4592,12.6,Yala
GAMPAHA,2014/2015,3594,10974,11154,33.5,Maha
GAMPAHA,2016,2703,1875,1903,4.31,Yala
GAMPAHA,2015/2016,3849,9983,9989,32.66,Maha
GAMPAHA,2017,2672,2596,2728,5.9,Yala
GAMPAHA,2016/2017,3340,4998,7932,14.19,Maha
GAMPAHA,2018,3210,5766,6163,15.74,Yala
GAMPAHA,2017/2018,3782,10516,10648,33.81,Maha
GAMPAHA,2019,3250,4183,5500,11.56,Yala
GAMPAHA,2018/2019,3717,10091,10344,31.88,Maha
GAMPAHA,2020,3445,10000,10444,29.28,Yala
GAMPAHA,2019/2020,4240,9563,9714,34.46,Maha
GAMPAHA,2021,2991,8492,9954,21.59,Yala
GAMPAHA,2022,2493,9836,9850,20.84,Yala
GAMPAHA,2021/2022,2842,11202,11511,27.06,Maha
GAMPAHA,2023,2557,8467,8660,18.4,Yala
GAMPAHA,2022/2023,3453,12249,12348,35.91,Maha
GAMPAHA,2024,2831,5732,6017,13.79,Yala
GAMPAHA,2023/2024,3159,10406,10634,27.94,Maha
HAMBANTOTA,1979,3763,9280,9572,30.6,Yala
HAMBANTOTA,1978/1979,3484,19302,19630,33.1,Maha
HAMBANTOTA,1979/1980,3538,15680,16079,30.3,Maha
HAMBANTOTA,1981,3491,13043,13135,39.8,Yala
HAMBANTOTA,1980/1981,3947,18303,18448,35.6,Maha
HAMBANTOTA,1982,3948,13991,14119,48.3,Yala
HAMBANTOTA,1981/1982,3726,16662,17967,37.4,Maha
HAMBANTOTA,1983,4222,10884,11780,40.2,Yala
HAMBANTOTA,1982/1983,4280,19648,19738,35.9,Maha
HAMBANTOTA,1984,3347,15650,16556,45.8,Yala
HAMBANTOTA,1983/1984,4116,19498,19527,70.4,Maha
HAMBANTOTA,1985,3930,12580,12592,43.3,Yala
HAMBANTOTA,1984/1985,4586,17460,17646,66.1,Maha
HAMBANTOTA,1986,4026,15012,15326,52.9,Yala
HAMBANTOTA,1985/1986,4194,19502,19542,71.6,Maha
HAMBANTOTA,1987,4261,8029,8661,29.9,Yala
HAMBANTOTA,1986/1987,4302,17848,19602,67.2,Maha
HAMBANTOTA,1988,4351,13741,13741,52.3,Yala
HAMBANTOTA,1987/1988,4853,22499,22520,95.6,Maha
HAMBANTOTA,1989,4274,15489,15591,57.9,Yala
HAMBANTOTA,1988/1989,4321,22227,22227,84.1,Maha
HAMBANTOTA,1990,4796,13087,13592,54.9,Yala
HAMBANTOTA,1989/1990,4179,17922,18392,65.5,Maha
HAMBANTOTA,1991,3477,13839,13839,42.1,Yala
HAMBANTOTA,1990/1991,4455,17151,17635,67,Maha
HAMBANTOTA,1992,3763,9900,12095,32.6,Yala
HAMBANTOTA,1991/1992,4637,21427,21537,87,Maha
HAMBANTOTA,1993,4586,11667,11691,46.8,Yala
HAMBANTOTA,1992/1993,4703,21731,22085,89.4,Maha
HAMBANTOTA,1994,3875,18321,18346,62.1,Yala
HAMBANTOTA,1993/1994,4048,23024,23167,81.6,Maha
HAMBANTOTA,1995,3927,18634,18654,64,Yala
HAMBANTOTA,1994/1995,3953,22545,22545,78,Maha
HAMBANTOTA,1996,4066,14400,14418,51.2,Yala
HAMBANTOTA,1995/1996,3893,20804,20826,70.9,Maha
HAMBANTOTA,1997,3886,15155,15308,51.5,Yala
HAMBANTOTA,1996/1997,3995,18383,18385,64.3,Maha
HAMBANTOTA,1998,4366,18336,18788,70.1,Yala
HAMBANTOTA,1997/1998,3761,24573,24648,80.9,Maha
HAMBANTOTA,1999,3809,19608,20667,65.4,Yala
HAMBANTOTA,1998/1999,4106,23395,23407,84.1,Maha
HAMBANTOTA,2000,4092,20109,21286,72,Yala
HAMBANTOTA,1999/2000,4354,19553,20368,74,Maha
HAMBANTOTA,2001,4589,9279,9645,37,Yala
HAMBANTOTA,2000/2001,4680,14212,14339,58,Maha
HAMBANTOTA,2002,4343,11899,12525,45,Yala
HAMBANTOTA,2001/2002,4820,13930,14235,59,Maha
HAMBANTOTA,2003,3802,18470,20076,60.6,Yala
HAMBANTOTA,2002/2003,4587,16264,17120,65,Maha
HAMBANTOTA,2004,4780,13383,13485,55.9,Yala
HAMBANTOTA,2003/2004,4626,16646,16737,67.3,Maha
HAMBANTOTA,2005,4166,16492,16633,60,Yala
HAMBANTOTA,2004/2005,4467,18678,19066,72.9,Maha
HAMBANTOTA,2006,4470,16406,16448,64.1,Yala
HAMBANTOTA,2005/2006,5069,19873,19881,88,Maha
HAMBANTOTA,2007,4940,20771,20923,89.6,Yala
HAMBANTOTA,2006/2007,5215,21875,22320,99.7,Maha
HAMBANTOTA,2008,4725,24451,24500,101,Yala
HAMBANTOTA,2007/2008,4762,24007,24234,100,Maha
HAMBANTOTA,2009,5017,21853,21905,95.8,Yala
HAMBANTOTA,2008/2009,5295,25315,25575,28.2,Maha
HAMBANTOTA,2010,5114,24244,24255,108.3,Yala
HAMBANTOTA,2009/2010,5183,26012,26098,29.6,Maha
HAMBANTOTA,2011,5047,25260,25339,111.4,Yala
HAMBANTOTA,2010/2011,5779,35460,36084,23,Maha
HAMBANTOTA,2012,4919,20525,21403,88.2,Yala
HAMBANTOTA,2011/2012,5198,26102,26759,24,Maha
HAMBANTOTA,2013,4987,25850,25896,112.6,Yala
HAMBANTOTA,2012/2013,6575,28802,28946,18.7,Maha
HAMBANTOTA,2014,4627,20644,21524,83.5,Yala
HAMBANTOTA,2013/2014,5592,26679,26882,18.6,Maha
HAMBANTOTA,2015,5279,25626,26302,118.2,Yala
HAMBANTOTA,2014/2015,6134,26995,27175,22.3,Maha
HAMBANTOTA,2016,5259,22042,22444,101.27,Yala
HAMBANTOTA,2015/2016,5418,27128,27848,21.05,Maha
HAMBANTOTA,2017,5348,20772,20967,97.05,Yala
HAMBANTOTA,2016/2017,5253,21750,22011,6.91,Maha
HAMBANTOTA,2018,6252,24695,24771,134.9,Yala
HAMBANTOTA,2017/2018,5773,34695,34695,23.44,Maha
HAMBANTOTA,2019,5726,32195,32702,161.07,Yala
HAMBANTOTA,2018/2019,6622,34141,34164,26.05,Maha
HAMBANTOTA,2020,5986,34161,34167,178.65,Yala
HAMBANTOTA,2019/2020,6302,34933,34978,22.79,Maha
HAMBANTOTA,2021,5814,34490,34490,175.19,Yala
HAMBANTOTA,2022,4612,33003,33031,133,Yala
HAMBANTOTA,2021/2022,3969,36007,36104,20.62,Maha
HAMBANTOTA,2023,5087,32920,34947,146.31,Yala
HAMBANTOTA,2022/2023,5468,37289,37347,23.91,Maha
HAMBANTOTA,2024,5381,35246,35253,165.7,Yala
HAMBANTOTA,2023/2024,5668,35958,36527,20.78,Maha
JAFFNA,1979,2318,4556,4556,9.4,Yala
JAFFNA,1978/1979,1960,28583,29945,81.3,Maha
JAFFNA,1979/1980,2057,28450,29438,71.5,Maha
JAFFNA,1981,3418,101,101,0.3,Yala
JAFFNA,1980/1981,1749,26738,31920,98,Maha
JAFFNA,1982,4853,7132,7132,30.8,Yala
JAFFNA,1981/1982,2288,28891,31691,53.1,Maha
JAFFNA,1983,3830,6817,6852,23.2,Yala
JAFFNA,1982/1983,2672,29936,31876,124.4,Maha
JAFFNA,1983/1984,1255,14400,31758,16,Maha
JAFFNA,1984/1985,1686,10569,11054,15.8,Maha
JAFFNA,1985/1986,1792,8403,10877,13.4,Maha
JAFFNA,1986/1987,1608,9644,10557,13.8,Maha
JAFFNA,1987/1988,1805,9929,11032,15.9,Maha
JAFFNA,1988/1989,1702,6919,10504,10.5,Maha
JAFFNA,1989/1990,2342,11133,11189,23.2,Maha
JAFFNA,1991/1992,1805,9840,10218,15.8,Maha
JAFFNA,1992/1993,1908,8208,8550,13.9,Maha
JAFFNA,1993/1994,2145,8072,9132,15.4,Maha
JAFFNA,1994/1995,2633,9052,9253,21.2,Maha
JAFFNA,1997/1998,1935,6424,6762,11.1,Maha
JAFFNA,1998/1999,2217,7165,8412,14.1,Maha
JAFFNA,1999/2000,3137,7636,8845,21,Maha
JAFFNA,2000/2001,2245,3924,5555,8,Maha
JAFFNA,2001/2002,3404,5018,5629,15,Maha
JAFFNA,2002/2003,3419,6467,7791,20,Maha
JAFFNA,2003/2004,2016,7118,7279,12.7,Maha
JAFFNA,2004/2005,2214,7231,7636,14.2,Maha
JAFFNA,2005/2006,1977,7249,7568,12.7,Maha
JAFFNA,2006/2007,2141,6257,6918,11.9,Maha
JAFFNA,2007/2008,2887,7248,7566,18.6,Maha
JAFFNA,2008/2009,2506,7297,8171,147.3,Maha
JAFFNA,2009/2010,2605,8703,8948,193.3,Maha
JAFFNA,2010/2011,2659,8636,9221,30.5,Maha
JAFFNA,2011/2012,2680,8668,8755,171.7,Maha
JAFFNA,2012/2013,2388,10031,10219,115.6,Maha
JAFFNA,2013/2014,1547,2624,10180,166,Maha
JAFFNA,2014/2015,3096,9829,10038,120.6,Maha
JAFFNA,2015/2016,2352,8389,10252,150.43,Maha
JAFFNA,2016/2017,2021,1830,10049,81.88,Maha
JAFFNA,2017/2018,2055,8964,10424,177.29,Maha
JAFFNA,2018/2019,4224,10171,10588,190.17,Maha
JAFFNA,2019/2020,3628,10291,10445,204.49,Maha
JAFFNA,2021/2022,2176,7775,11127,96.25,Maha
JAFFNA,2022/2023,2889,11261,11408,194.67,Maha
JAFFNA,2023/2024,2691,11340,11362,142.52,Maha
KALUTARA,1979,1690,16372,16690,25.6,Yala
KALUTARA,1978/1979,1707,18364,18897,29,Maha
KALUTARA,1979/1980,1803,18636,19204,31,Maha
KALUTARA,1981,1909,17948,18396,31.7,Yala
KALUTARA,1980/1981,2123,19054,19233,37.4,Maha
KALUTARA,1982,1847,15968,17706,27.3,Yala
KALUTARA,1981/1982,2605,18769,19026,45.2,Maha
KALUTARA,1983,2177,11349,11865,22.8,Yala
KALUTARA,1982/1983,2518,18348,19549,42.7,Maha
KALUTARA,1984,2091,15635,17127,30.2,Yala
KALUTARA,1983/1984,2631,19206,19586,46.7,Maha
KALUTARA,1985,1815,15967,16898,26.8,Yala
KALUTARA,1984/1985,2389,19585,19786,43.2,Maha
KALUTARA,1986,2264,16485,16767,34.5,Yala
KALUTARA,1985/1986,2558,19297,19498,45.6,Maha
KALUTARA,1987,2015,14407,14945,26.8,Yala
KALUTARA,1986/1987,2802,18906,18967,48.9,Maha
KALUTARA,1988,2112,15808,16207,30.8,Yala
KALUTARA,1987/1988,2523,17879,18563,41.7,Maha
KALUTARA,1989,2418,15974,16151,35.7,Yala
KALUTARA,1988/1989,2337,17796,18257,38.4,Maha
KALUTARA,1990,2434,16183,16254,36.4,Yala
KALUTARA,1989/1990,2624,17827,18030,43.2,Maha
KALUTARA,1991,2108,15198,16386,29.6,Yala
KALUTARA,1990/1991,2731,17918,17961,45.2,Maha
KALUTARA,1992,2319,13321,13639,28.5,Yala
KALUTARA,1991/1992,2783,17762,17825,45.7,Maha
KALUTARA,1993,2059,13241,13618,25.2,Yala
KALUTARA,1992/1993,2392,16702,16902,36.9,Maha
KALUTARA,1994,2305,14402,14506,30.7,Yala
KALUTARA,1993/1994,2858,16663,16732,44,Maha
KALUTARA,1995,2327,12701,13025,27.3,Yala
KALUTARA,1994/1995,2704,16659,16707,41.6,Maha
KALUTARA,1996,2184,11700,11842,23.6,Yala
KALUTARA,1995/1996,2375,16442,16496,36.1,Maha
KALUTARA,1997,2574,11510,11541,27.4,Yala
KALUTARA,1996/1997,2689,16333,16351,40.6,Maha
KALUTARA,1998,2696,8993,9636,22.4,Yala
KALUTARA,1997/1998,2547,15355,15995,36.1,Maha
KALUTARA,1999,2488,12470,13244,28.7,Yala
KALUTARA,1998/1999,3064,15374,15397,43.5,Maha
KALUTARA,2000,2661,12807,12817,31,Yala
KALUTARA,1999/2000,2859,15146,15455,40,Maha
KALUTARA,2001,2734,13022,13034,32.9,Yala
KALUTARA,2000/2001,2918,15058,15066,40.6,Maha
KALUTARA,2002,2495,12497,13155,29.4,Yala
KALUTARA,2001/2002,2876,14798,14805,39.3,Maha
KALUTARA,2003,2364,10766,11701,22.8,Yala
KALUTARA,2002/2003,2478,13414,14120,30.7,Maha
KALUTARA,2004,2312,9140,9169,19.5,Yala
KALUTARA,2003/2004,2426,13397,13487,30,Maha
KALUTARA,2005,2335,11446,11479,24.7,Yala
KALUTARA,2004/2005,2865,13610,13642,36,Maha
KALUTARA,2006,2693,9385,9759,23.3,Yala
KALUTARA,2005/2006,2861,13160,13197,34.7,Maha
KALUTARA,2007,3060,7114,7135,20.1,Yala
KALUTARA,2006/2007,3170,11431,12511,33.4,Maha
KALUTARA,2008,2743,10849,12368,27.5,Yala
KALUTARA,2007/2008,2884,13476,13476,35.8,Maha
KALUTARA,2009,2898,12863,12872,34.4,Yala
KALUTARA,2008/2009,3115,14637,14684,42.1,Maha
KALUTARA,2010,2682,11935,12025,29.5,Yala
KALUTARA,2009/2010,3208,15289,15369,45.2,Maha
KALUTARA,2011,2430,11394,11499,25.5,Yala
KALUTARA,2010/2011,2917,15005,15024,40.4,Maha
KALUTARA,2012,2398,7216,7232,16,Yala
KALUTARA,2011/2012,3367,14074,14151,43.7,Maha
KALUTARA,2013,2539,6906,6906,16.2,Yala
KALUTARA,2012/2013,3105,13582,13638,38.9,Maha
KALUTARA,2014,2817,6260,6272,16.3,Yala
KALUTARA,2013/2014,2915,12691,12744,34.1,Maha
KALUTARA,2015,3495,7755,7796,25,Yala
KALUTARA,2014/2015,3644,12992,13020,43.7,Maha
KALUTARA,2016,2954,2786,2799,7.59,Yala
KALUTARA,2015/2016,3358,11722,11736,36.31,Maha
KALUTARA,2017,3228,5635,5785,16.78,Yala
KALUTARA,2016/2017,3565,8834,8838,29.05,Maha
KALUTARA,2018,3034,6108,6178,17.1,Yala
KALUTARA,2017/2018,3349,11039,11084,34.11,Maha
KALUTARA,2019,2857,4742,5076,12.5,Yala
KALUTARA,2018/2019,3642,10292,10297,34.57,Maha
KALUTARA,2020,3380,11592,11653,36.15,Yala
KALUTARA,2019/2020,3641,9490,9556,31.88,Maha
KALUTARA,2021,3048,9429,9766,26.52,Yala
KALUTARA,2022,2330,10661,10765,22.92,Yala
KALUTARA,2021/2022,2563,11566,11939,27.35,Maha
KALUTARA,2023,2487,9115,9132,20.91,Yala
KALUTARA,2022/2023,2735,13071,13148,32.97,Maha
KALUTARA,2024,2694,5939,5965,14.76,Yala
KALUTARA,2023/2024,3032,11493,11547,32.14,Maha
KANDY,1979,2795,15155,15371,33.5,Yala
KANDY,1978/1979,3201,22141,22367,49.8,Maha
KANDY,1979/1980,3141,22288,22423,52,Maha
KANDY,1981,2958,13934,14051,32.6,Yala
KANDY,1980/1981,3208,22324,22383,41.6,Maha
KANDY,1982,3529,14918,15015,41.7,Yala
KANDY,1981/1982,3144,17987,18991,58.8,Maha
KANDY,1983,3087,8851,8946,21.7,Yala
KANDY,1982/1983,3577,19353,19429,71.1,Maha
KANDY,1984,3417,14289,14290,38.7,Yala
KANDY,1983/1984,3171,19112,19136,48,Maha
KANDY,1985,3200,14154,14160,35.9,Yala
KANDY,1984/1985,3727,18572,18574,54.8,Maha
KANDY,1986,3090,15343,15345,36.8,Yala
KANDY,1985/1986,3998,18904,18931,59.9,Maha
KANDY,1987,2804,13875,13989,30.8,Yala
KANDY,1986/1987,3242,18248,18889,46.9,Maha
KANDY,1988,3099,15273,15353,37.5,Yala
KANDY,1987/1988,3398,18952,19034,51,Maha
KANDY,1989,3321,14489,14592,38.1,Yala
KANDY,1988/1989,3368,19023,19057,50.7,Maha
KANDY,1990,3205,16102,16110,40.9,Yala
KANDY,1989/1990,3251,19115,19147,49.2,Maha
KANDY,1991,2942,14811,14845,34.5,Yala
KANDY,1990/1991,3377,19143,19155,51.2,Maha
KANDY,1992,3120,13766,13794,34,Yala
KANDY,1991/1992,3333,16487,18975,43.5,Maha
KANDY,1993,2258,12038,12039,21.5,Yala
KANDY,1992/1993,2509,17230,17230,34.3,Maha
KANDY,1994,2542,8912,8930,17.5,Yala
KANDY,1993/1994,2785,17034,17046,37.6,Maha
KANDY,1995,3188,12184,12191,30.8,Yala
KANDY,1994/1995,3015,17088,17089,40.8,Maha
KANDY,1996,2873,10124,10223,23,Yala
KANDY,1995/1996,3466,16916,16916,46.4,Maha
KANDY,1997,3140,11096,11322,27.6,Yala
KANDY,1996/1997,3367,16802,16892,44.8,Maha
KANDY,1998,3228,7546,7864,19.3,Yala
KANDY,1997/1998,3151,16235,16461,40.5,Maha
KANDY,1999,3568,10764,11308,30.4,Yala
KANDY,1998/1999,2973,15949,15961,37.6,Maha
KANDY,2000,3492,8340,8395,23,Yala
KANDY,1999/2000,3509,15176,15809,42.2,Maha
KANDY,2001,3794,10066,10075,30.2,Yala
KANDY,2000/2001,3923,15600,15695,48.5,Maha
KANDY,2002,3449,9981,10506,27,Yala
KANDY,2001/2002,3910,15442,15465,47.8,Maha
KANDY,2003,3577,9651,10336,25.2,Yala
KANDY,2002/2003,3554,13914,14646,39.2,Maha
KANDY,2004,3962,8022,8336,25.1,Yala
KANDY,2003/2004,3627,12700,13187,36.4,Maha
KANDY,2005,3489,8774,8852,24.2,Yala
KANDY,2004/2005,3488,13526,13563,37.3,Maha
KANDY,2006,3895,7893,8067,24.3,Yala
KANDY,2005/2006,3620,12595,12784,36.1,Maha
KANDY,2007,3903,8054,8157,24.9,Yala
